probe_id,long,lat
10443,-73.2005,44.4685
10444,-79.3805,43.6495
10446,-73.5005,45.4905
10450,-100.2905,25.6475
10458,-75.6505,41.4915
10462,-77.5295,38.9785
10473,-73.1295,44.5285
10477,-73.5495,45.5105
10478,-90.1695,32.4015
10479,-114.0095,50.9515
10482,-75.3385,39.8585
10484,-76.9885,38.8895
10486,-122.6385,48.2905
10491,-75.1585,39.9475
10495,-90.0785,29.9495
10497,34.7715,31.9705
10498,-78.8785,42.8915
10506,-77.0425,38.9105
10507,-97.8225,37.7505
10509,114.1075,22.4015
10510,103.8175,1.3475
10515,-80.1425,26.6095
10535,-9.2315,38.6995
10540,-88.1105,42.0075
10542,-87.7905,41.7385
10543,-81.7305,28.7985
10544,-87.6905,42.0695
10545,-88.1405,41.3195
10551,-77.2305,39.9775
10553,-73.4305,41.3585
10554,-85.7805,42.8895
10555,-85.6205,42.2995
10556,-88.0905,41.8405
10562,-75.1895,39.7085
10564,-95.9895,36.1495
10565,-95.5995,29.6695
10568,-75.1695,40.2015
10576,-77.5995,38.8105
10583,-83.8985,33.9885
10584,-75.9185,40.3495
10587,-84.3785,33.7405
10598,-78.0185,40.7915
10600,-6.2525,53.3475
10605,7.4275,46.9395
10610,-8.4825,54.2775
10611,4.8975,52.3675
10612,-9.2825,53.8585
10620,-1.2215,53.1675
10626,-104.8315,39.0505
10638,27.7285,64.2315
10640,-122.2905,47.4875
10644,28.0895,61.0695
10645,2.0395,48.7695
10647,15.0195,50.8405
10650,174.9795,-41.1725
10654,7.9995,51.3295
10657,-95.4305,29.9405
10659,44.4995,40.1715
10661,-70.6595,-33.5025
10667,10.7505,59.9105
10668,-122.2095,37.5015
10674,-121.9595,37.3795
10675,-77.4695,38.9095
10676,103.7505,1.3305
10677,-96.8295,32.9305
10681,21.7815,61.4675
10692,-77.4885,39.0385
10704,-80.7925,28.1995
10717,44.7675,40.5505
10718,46.1975,38.8715
10725,-8.5515,52.6695
10727,-77.0715,38.9005
10729,44.5085,40.2015
10738,9.6185,49.7915
10743,-122.3105,47.6185
10750,26.1395,44.4875
10751,-77.0005,39.1075
10754,12.5895,55.6795
10760,-7.8895,53.4275
10767,7.4505,46.9605
10770,8.7105,47.3575
10774,23.8405,61.4595
10782,5.9715,51.9585
10785,-0.7285,51.5195
10790,-106.4885,31.7575
10797,2.3315,48.8705
10806,4.4175,51.1805
